Url,Season_End_Year,Squad,Player,Comp,Pos,Age,Min_Playing,G_minus_PK_Per,npxG_Per,xAG_Per,Cmp_percent_Total,CrsPA,Final_Third,KP,Prog,Blocks_Blocks,Clr,Err,Int,Mid 3rd_Tackles,Tkl+Int,TklW_Tackles,Att Pen_Touches,Final_Third_Carries,Mis_Carries,Prog_Carries,Prog_Receiving,Succ_Dribbles,Recov,Won_Aerial,Won_percent_Aerial,GCA90_GCA,SCA90_SCA,prim_pos,season_total_min,n_clubs,role,tier,role_source,market_value_eur
https://fbref.com/en/players/7909ffa4/Joris-Chotard,2022,Montpellier,Joris Chotard,Ligue 1,MF,19.0,2935.0,0.03,0.04,0.03,84.8,4.0,78.0,12.0,84.0,33.0,61.0,2.0,84.0,17.0,141.0,33.0,17.0,8.0,12.0,53.0,23.0,12.0,280.0,25.0,46.3,0.12,1.01,MF,2935.0,1,defensive_mid,C,tm,10000000.0
https://fbref.com/en/players/7909ffa4/Joris-Chotard,2023,Montpellier,Joris Chotard,Ligue 1,MF,21.0,927.0,0.0,0.01,0.13,83.0,1.0,38.0,9.0,33.0,12.0,12.0,0.0,14.0,6.0,31.0,9.0,4.0,,,,9.0,5.0,58.0,3.0,37.5,0.21,1.58,MF,927.0,1,defensive_mid,C,tm,10000000.0
https://fbref.com/en/players/7b5ab7f2/Bryan,2021,Eibar,Bryan,La Liga,MF,19.0,2265.0,0.16,0.13,0.2,68.3,18.0,45.0,52.0,88.0,32.0,12.0,0.0,15.0,10.0,51.0,17.0,104.0,59.0,59.0,210.0,133.0,72.0,183.0,13.0,21.3,0.32,3.89,MF,2278.0,2,central_mid,C,fbref,
https://fbref.com/en/players/7b5ab7f2/Bryan,2022,Valencia,Bryan,La Liga,"MF,FW",20.0,753.0,0.0,0.16,0.18,64.2,3.0,10.0,10.0,23.0,12.0,3.0,0.0,6.0,5.0,19.0,7.0,27.0,12.0,35.0,30.0,64.0,20.0,64.0,3.0,25.0,0.12,2.27,MF,847.0,2,wide_attacker,C,fbref,
https://fbref.com/en/players/7b5ab7f2/Bryan,2023,Tottenham,Bryan,Premier League,MF,21.0,7.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,MF,7.0,1,central_mid,C,fbref,
https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,2021,Rennes,Eduardo Camavinga,Ligue 1,MF,17.0,2402.0,0.04,0.07,0.07,89.3,1.0,156.0,19.0,99.0,38.0,20.0,0.0,20.0,51.0,131.0,70.0,36.0,64.0,44.0,176.0,93.0,49.0,208.0,28.0,48.3,0.15,1.65,MF,2402.0,1,central_mid,C,tm,100000000.0
https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,2022,Real Madrid,Eduardo Camavinga,La Liga,MF,18.0,1236.0,0.15,0.09,0.08,90.1,2.0,65.0,13.0,60.0,28.0,16.0,0.0,18.0,21.0,68.0,32.0,23.0,28.0,18.0,68.0,40.0,21.0,108.0,30.0,75.0,0.22,2.26,MF,1379.0,2,central_mid,C,tm,100000000.0
https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,2023,Real Madrid,Eduardo Camavinga,La Liga,MF,19.0,483.0,0.0,0.05,0.07,91.1,1.0,33.0,6.0,26.0,8.0,1.0,0.0,2.0,5.0,12.0,8.0,4.0,,,,19.0,8.0,29.0,3.0,42.9,0.21,5.33,MF,483.0,1,central_mid,C,tm,100000000.0
https://fbref.com/en/players/7cd520e8/Iyenoma-Udogie,2021,Hellas Verona,Iyenoma Udogie,Serie A,"DF,MF",17.0,170.0,0.0,0.15,0.02,85.3,0.0,6.0,1.0,2.0,4.0,7.0,0.0,3.0,1.0,9.0,4.0,1.0,2.0,1.0,8.0,3.0,1.0,22.0,3.0,37.5,0.0,1.06,DF,170.0,1,full_back,C,fbref,
https://fbref.com/en/players/7cd520e8/Iyenoma-Udogie,2022,Udinese,Iyenoma Udogie,Serie A,DF,18.0,2477.0,0.18,0.16,0.1,80.2,4.0,43.0,25.0,70.0,56.0,29.0,0.0,50.0,26.0,125.0,50.0,75.0,42.0,37.0,135.0,65.0,33.0,217.0,31.0,50.8,0.25,2.14,DF,2477.0,1,center_back,C,fbref,
https://fbref.com/en/players/7cd520e8/Iyenoma-Udogie,2023,Udinese,Iyenoma Udogie,Serie A,DF,19.0,960.0,0.19,0.13,0.13,83.8,0.0,21.0,9.0,31.0,6.0,7.0,0.0,13.0,7.0,40.0,16.0,25.0,,,,29.0,9.0,50.0,5.0,50.0,0.41,2.69,DF,960.0,1,center_back,C,fbref,
https://fbref.com/en/players/7d9397f8/Khephren-Thuram-Ulie,2021,Nice,Khéphren Thuram-Ulie,Ligue 1,MF,19.0,1494.0,0.12,0.06,0.01,88.0,2.0,62.0,5.0,72.0,23.0,27.0,0.0,10.0,21.0,46.0,22.0,14.0,24.0,13.0,75.0,25.0,16.0,137.0,21.0,45.7,0.3,1.14,MF,1494.0,1,central_mid,C,fbref,
https://fbref.com/en/players/7d9397f8/Khephren-Thuram-Ulie,2022,Nice,Khéphren Thuram-Ulie,Ligue 1,MF,20.0,1901.0,0.19,0.15,0.13,86.8,1.0,96.0,22.0,86.0,39.0,15.0,0.0,45.0,21.0,88.0,26.0,37.0,60.0,25.0,142.0,36.0,26.0,183.0,18.0,47.4,0.43,2.46,MF,1901.0,1,central_mid,C,fbref,
https://fbref.com/en/players/7d9397f8/Khephren-Thuram-Ulie,2023,Nice,Khéphren Thuram-Ulie,Ligue 1,MF,21.0,815.0,0.0,0.03,0.19,87.5,2.0,42.0,13.0,39.0,9.0,10.0,0.0,6.0,7.0,19.0,8.0,12.0,,,,15.0,13.0,43.0,6.0,46.2,0.33,2.21,MF,815.0,1,central_mid,C,fbref,
