Url,Player,Squad,role,Age,n_seasons,total_min,Won_percent_Aerial,Won_Aerial,Int,Clr,Tkl+Int,Blocks_Blocks,Cmp_percent_Total,Prog,Err,TklW_Tackles,CrsPA,Final_Third,Prog_Carries,Prog_Receiving,Recov,Mid 3rd_Tackles,Mis_Carries,KP,xAG_Per,SCA90_SCA,npxG_Per,Succ_Dribbles,Final_Third_Carries,G_minus_PK_Per,GCA90_GCA,Att Pen_Touches,mourinho_score,role_rank,metrics_used,pct__aerial_win_pct,pct__aerials_won,pct__interceptions,pct__clearances,pct__tackles_plus_int,pct__blocks,pct__pass_completion,pct__progressive_passes,pct__errors,pct__tackles_won,pct__crosses_into_pen_area,pct__passes_into_final_3rd,pct__progressive_carries,pct__prog_passes_received,pct__recoveries,pct__tackles_mid_third,pct__miscontrols,pct__key_passes,pct__expected_assists,pct__shot_creating_actions,pct__non_pen_xg,pct__successful_dribbles,pct__carries_into_final_3rd,pct__non_pen_goals,pct__goal_creating_actions,pct__touches_in_box
https://fbref.com/en/players/562a4799/Boubakar-Kouyate,Boubakar Kouyaté,Metz,center_back,24.0,2,4629.0,72.04255778785915,4.257939079714841,2.896953985742061,8.78807517822424,6.124432922877512,2.5275437459494494,84.47885072369841,1.2054439403758912,0.0777705767984446,1.6331821127673365,0.0,0.8749189889825016,1.1665586519766689,0.05832793259883345,8.224238496435516,0.9721322099805574,0.3110823071937784,0.1166558651976669,0.004242817023115144,0.350600561676388,0.07272845106934542,0.19442644199611148,0.1166558651976669,0.03848563404623029,0.02121408511557572,0.9526895657809463,79.45859872611466,1.0,9,91.71974522292994,97.45222929936305,98.08917197452229,100.0,100.0,98.08917197452229,41.40127388535032,3.1847133757961785,8.280254777070063,,,,,,,,,,,,,,,,,
https://fbref.com/en/players/921f6058/Jose-Luis-Palomino,José Luis Palomino,Atalanta,center_back,31.0,2,5100.0,69.91482352941176,3.9176470588235297,2.9117647058823533,4.2,5.894117647058824,1.9764705882352942,83.26650980392156,3.423529411764706,0.01764705882352941,1.923529411764706,0.01764705882352941,3.035294117647059,2.7882352941176474,0.24705882352941178,13.5,1.1647058823529413,0.15882352941176472,0.24705882352941178,0.01952156862745098,0.549521568627451,0.046674509803921564,0.052941176470588235,0.47647058823529415,0.03476078431372549,0.08904313725490196,0.9,76.98089171974523,2.0,9,84.07643312101911,92.35668789808918,98.72611464968153,43.94904458598726,99.36305732484077,85.98726114649682,29.29936305732484,71.3375796178344,68.15286624203823,,,,,,,,,,,,,,,,,
https://fbref.com/en/players/05d548d8/Mats-Hummels,Mats Hummels,Dortmund,center_back,31.0,3,5379.0,70.37581334820598,4.032348020078081,2.3424428332403795,4.9191299498047965,4.366982710540992,1.2548800892359175,88.47490239821528,3.6475181260457337,0.03346346904629113,1.271611823759063,0.016731734523145567,3.781372002230898,4.698558322411533,0.30117122141662017,11.963190184049079,0.7361963190184049,0.25557011795543905,0.23424428332403793,0.030303030303030304,0.8003048893846441,0.10439115077151886,0.23424428332403793,0.5504587155963303,0.10007994050938834,0.08059676519799219,1.037367540435025,75.9171974522293,3.0,9,85.98726114649682,93.63057324840764,91.71974522292994,65.60509554140127,88.53503184713377,15.92356687898089,71.97452229299363,76.43312101910828,50.318471337579616,,,,,,,,,,,,,,,,,
https://fbref.com/en/players/080440a4/Martin-Hinteregger,Martin Hinteregger,Eint Frankfurt,center_back,27.0,2,4749.0,68.6899347230996,4.264055590650663,1.914087176247631,5.382185723310171,4.510423246999369,1.8951358180669615,81.48349126131816,4.264055590650663,0.07580543272267846,1.4782059380922299,0.0,3.885028427037271,2.0846493998736575,0.30322173089071386,14.327226784586228,0.8717624763108023,0.3979785217940619,0.28427037271004424,0.039999999999999994,0.8707348915561173,0.07064224047167825,0.20846493998736576,0.3221730890713835,0.05596336070751737,0.13064224047167827,0.98547062539482,74.94904458598727,4.0,9,80.2547770700637,98.08917197452229,80.2547770700637,81.52866242038218,92.99363057324841,78.343949044586,21.656050955414013,89.171974522293,10.828025477707005,,,,,,,,,,,,,,,,,
https://fbref.com/en/players/a3d94a58/Cristian-Romero,Cristian Romero,Atalanta,center_back,22.0,3,5047.0,66.1034079651278,3.1919952446998217,2.657023974638399,4.49375866851595,5.67069546265108,2.015058450564692,88.9110560729146,2.567862096294829,0.07132950267485635,1.818902318208837,0.0,2.4430354666138303,3.2809295967190706,0.4279770160491381,10.735090152565881,1.1234396671289875,0.36910457963089544,0.3031503863681395,0.028953833960768772,0.8186110560729147,0.04790766792153755,0.4279770160491381,0.7997265892002734,0.053566475133742825,0.12730334852387556,0.9807806617792748,73.21019108280255,5.0,9,66.87898089171973,80.2547770700637,96.17834394904459,51.59235668789809,98.72611464968153,89.171974522293,77.07006369426752,47.13375796178344,14.649681528662416,,,,,,,,,,,,,,,,,
https://fbref.com/en/players/4115ce4e/Jan-Bednarek,Jan Bednarek,Southampton,center_back,24.0,3,5888.0,66.1046535326087,3.4544836956521743,2.690217391304348,5.976562500000001,4.020040760869565,1.9412364130434785,83.82600203804347,2.017663043478261,0.015285326086956524,0.7642663043478262,0.015285326086956524,2.415081521739131,1.6495025309827194,0.12228260869565219,11.402853260869566,0.4585597826086957,0.09425728748472682,0.1987092391304348,0.02054008152173913,0.5366032608695653,0.04706012228260869,0.04585597826086957,0.14138593122709023,0.07830502717391305,0.03158967391304348,0.7642663043478262,73.0828025477707,6.0,9,67.51592356687898,85.35031847133759,96.81528662420382,91.71974522292994,84.07643312101911,82.80254777070064,35.03184713375796,18.471337579617835,76.43312101910828,,,,,,,,,,,,,,,,,
https://fbref.com/en/players/48035304/Nico-Elvedi,Nico Elvedi,M'Gladbach,center_back,23.0,3,5911.0,66.43606834714937,3.1060734224327526,2.025038064625275,4.826594484858738,3.9434951784807986,1.7814244628658433,93.0603620368804,2.0098122145153106,0.0,1.0049061072576553,0.015225850109964472,1.385552360006767,1.9391864679822794,0.1827102013195737,9.105058365758754,0.57858230417865,0.12686266612968183,0.15225850109964473,0.0047961427846388086,0.5349111825410251,0.05908644899340213,0.04567755032989342,0.18123238018525978,0.09401285738453731,0.07765014379969548,0.7612925054982237,73.0127388535032,7.0,9,70.06369426751591,78.343949044586,84.71337579617835,61.78343949044586,82.16560509554141,69.42675159235668,96.81528662420382,17.8343949044586,90.44585987261146,,,,,,,,,,,,,,,,,
https://fbref.com/en/players/e27da244/John-Brooks,John Brooks,Wolfsburg,center_back,27.0,2,5389.0,66.88556318426426,3.223232510669883,1.870476897383559,5.778437557988495,3.6407496752644275,1.9205789571349043,85.18819818148079,3.9413620337724993,0.0668027463351271,1.0354425681944701,0.016700686583781776,3.724253108183336,2.9727222119131564,0.18370755242159956,10.972351085544627,0.5511226572647987,0.21710892558916312,0.20040823900538132,0.014852477268509929,0.6663277045834107,0.04029504546298015,0.31731304509185376,0.5344219706810168,0.04544256819447021,0.030000000000000002,0.8684357023566525,71.31847133757964,8.0,9,71.97452229299363,82.80254777070064,75.15923566878982,87.89808917197452,68.78980891719745,80.2547770700637,45.85987261146497,82.16560509554141,19.7452229299363,,,,,,,,,,,,,,,,,
https://fbref.com/en/players/43e7a164/Alexander-Djiku,Alexander Djiku,Strasbourg,center_back,26.0,3,6245.0,71.38512409927942,2.4931945556445156,2.637309847878303,4.755804643714972,4.856685348278623,1.5420336269015213,84.89569255404324,3.660528422738191,0.07205764611689351,1.412329863891113,0.057646116893514815,3.9631705364291436,2.727792603888677,0.15852682145716573,7.839871897518015,0.5044035228182546,0.2573389248951582,0.21617293835068055,0.021599679743795033,0.7184675740592474,0.07319935948759007,0.2594075260208167,0.5146778497903164,0.0273386709367494,0.030196957566052843,0.8070456365092074,70.58598726114649,9.0,9,89.171974522293,53.503184713375795,95.54140127388536,57.324840764331206,96.17834394904459,43.94904458598726,43.31210191082803,77.07006369426752,12.73885350318471,,,,,,,,,,,,,,,,,
https://fbref.com/en/players/d8931174/Harry-Maguire,Harry Maguire,Manchester Utd,center_back,27.0,3,5843.0,74.89724456614752,3.8815676878315934,1.8329625192538082,4.80575047064864,2.9419818586342634,1.509498545267842,88.29231559130584,2.9881909977751158,0.015403046380284101,0.6931370871127845,0.015403046380284101,5.129214444634606,5.016181229773463,0.29265788122539793,10.612698956015747,0.32346397398596616,0.1779935275080906,0.1694335101831251,0.010000000000000002,0.8348759199041589,0.078608591476981,0.1386274174225569,1.2297734627831716,0.048505904501112446,0.11108334759541333,1.4324833133664214,70.24203821656052,10.0,9,98.08917197452229,91.71974522292994,70.70063694267516,61.146496815286625,40.76433121019109,36.94267515923567,68.78980891719745,62.42038216560509,75.79617834394905,,,,,,,,,,,,,,,,,
